Comment,Designator,Footprint,Quantity

"Cap Semi","C1, C4, C7, C12, C13, C14, C17, C18, C19, C21, C22, C25, C28, C33, C34, C37, C40, C45, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C63, C66, C71","CAPC1005L","34"
"Cap Semi","C2, C3, C5, C6, C8, C9, C10, C11, C15, C16, C20, C23, C24, C26, C27, C29, C30, C31, C32, C35, C36, C38, C39, C41, C42, C43, C44, C61, C62, C64, C65, C67, C68, C69, C70","CAPC1608L","35"
"","C46, C47","CAPC1005L","2"
"TXLED","D1","INDC2012L","1"
"RXLED","D2","INDC2012L","1"
"Diode","D3","SurfaceMount(603)","1"
"JTAG","J1","JTAG-10","1"
"USB","J2","USB Minib (thru-hole)","1"
"Bat","J3","BatteryConnJST","1"
"Inductor","L1, L2","INDC2012L","2"
"0.65uH","L3","IndPow","1"
"Header 3","P1","HDR1X3","1"
"Header 8X2","P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P30, P31, P32, P33","HDR2X8","16"
"Header 5X2A","P14, P15, P16, P17, P18, P19, P20, P21, P22, P23, P24, P25, P26, P27, P28, P29","HDR2X5_CEN","16"
"Res3","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51","RESC1608L","49"
"","R38, R39","RESC1608L","2"
"Switch-TL3315","SW1","Switch-TL3315","1"
"Allegro6285","U1, U2, U3, U4, U6, U7, U8, U9, U10, U11, U12, U13, U17, U18, U19, U20","QFN-32","16"
"LM3S8962","U5","LQFP-100","1"
"MUX","U14","SOIC-24MUX","1"
"FT232RL","U15","SSOP-28","1"
"Power","U16","TSOP_28_PowerPad","1"
"8 MHz","XTAL1","RESC5025L","1"
